Designator,Mid X,Mid Y,Rotation,Layer
C1,166.0,-71.160589,45.0,top
C10,161.0,-68.0,90.0,top
C11,163.5,-70.98,90.0,top
C12,163.5,-82.46,270.0,top
C13,157.275,-55.5,180.0,top
C14,158.0,-61.5,180.0,top
C15,162.5,-84.5,90.0,top
C16,157.0,-84.52,270.0,top
C17,159.02,-65.5,180.0,top
C2,155.98,-72.5,180.0,top
C3,166.52,-77.2,0.0,top
C4,154.5,-78.0,180.0,top
C5,162.5,-82.48,270.0,top
C6,163.0,-67.48,90.0,top
C7,162.0,-68.0,90.0,top
C8,164.5,-71.52,90.0,top
C9,165.78,-73.0,0.0,top
J1,160.65,-49.25,180.0,top
J2,151.76,-72.25,0.0,top
J3,169.54,-72.25,0.0,top
J4,160.46,-96.14,270.0,top
R1,159.5,-56.01,270.0,top
R2,162.0,-56.0,270.0,top
R3,162.5,-70.49,270.0,top
R4,161.5,-70.49,270.0,top
R5,160.99,-81.96,180.0,top
R6,157.01,-65.5,180.0,top
R7,157.49,-63.5,180.0,top
SW1,163.4,-60.0,270.0,top
U1,160.65,-76.25,90.0,top
U2,158.0,-58.4375,270.0,top
U3,157.575,-67.25,0.0,top
Y1,159.9,-84.69,180.0,top
